125 6963
73 7 31
73 8 32
73 9 33
73 10 34
73 11 35
73 12 36
73 13 37
73 15 39
73 16 40
73 17 41
73 18 42
73 19 43
73 20 44
73 21 45
73 22 46
73 23 47
73 24 48
73 25 49
73 26 50
73 27 1
73 28 2
73 30 4
73 32 6
73 33 7
73 34 8
73 35 9
73 37 11
73 38 12
73 39 13
73 41 15
73 42 16
73 44 18
73 45 19
73 46 20
73 47 21
73 48 22
73 49 23
73 50 24
73 52 26
73 53 27
73 54 28
73 55 29
73 56 30
73 57 31
73 58 32
73 60 34
73 61 35
73 62 36
73 63 37
73 64 38
73 65 39
73 66 40
73 67 41
73 69 43
73 70 44
73 71 45
73 72 46
74 1 26
74 2 27
74 3 28
74 4 29
74 6 31
74 7 32
74 8 33
74 10 35
74 11 36
74 12 37
74 13 38
74 14 39
74 15 40
74 17 42
74 18 43
74 19 44
74 21 46
74 22 47
74 23 48
74 24 49
74 25 50
74 26 1
74 28 3
74 29 4
74 30 5
74 31 6
74 32 7
74 33 8
74 34 9
74 35 10
74 36 11
74 37 12
74 38 13
74 39 14
74 41 16
74 42 17
74 43 18
74 44 19
74 45 20
74 46 21
74 47 22
74 48 23
74 49 24
74 50 25
74 52 27
74 53 28
74 54 29
74 56 31
74 58 33
74 59 34
74 60 35
74 61 36
74 62 37
74 64 39
74 65 40
74 67 42
74 68 43
74 69 44
74 70 45
74 71 46
74 72 47
74 73 48
75 1 27
75 3 29
75 4 30
75 5 31
75 6 32
75 7 33
75 8 34
75 9 35
75 10 36
75 11 37
75 12 38
75 13 39
75 14 40
75 16 42
75 17 43
75 18 44
75 19 45
75 20 46
75 21 47
75 22 48
75 23 49
75 24 50
75 25 1
75 26 2
75 27 3
75 28 4
75 29 5
75 30 6
75 31 7
75 33 9
75 35 11
75 38 14
75 39 15
75 41 17
75 42 18
75 43 19
75 44 20
75 45 21
75 46 22
75 47 23
75 48 24
75 49 25
75 50 26
75 51 27
75 52 28
75 53 29
75 54 30
75 55 31
75 56 32
75 57 33
75 58 34
75 60 36
75 61 37
75 62 38
75 63 39
75 64 40
75 65 41
75 66 42
75 67 43
75 68 44
75 69 45
75 70 46
75 73 49
75 74 50
76 1 28
76 2 29
76 3 30
76 5 32
76 6 33
76 7 34
76 8 35
76 9 36
76 10 37
76 11 38
76 13 40
76 14 41
76 15 42
76 17 44
76 18 45
76 19 46
76 20 47
76 21 48
76 22 49
76 23 50
76 24 1
76 25 2
76 26 3
76 27 4
76 30 7
76 32 9
76 33 10
76 34 11
76 36 13
76 37 14
76 40 17
76 41 18
76 42 19
76 43 20
76 44 21
76 46 23
76 47 24
76 48 25
76 49 26
76 51 28
76 52 29
76 54 31
76 55 32
76 56 33
76 57 34
76 58 35
76 59 36
76 60 37
76 61 38
76 62 39
76 63 40
76 64 41
76 65 42
76 66 43
76 67 44
76 68 45
76 69 46
76 70 47
76 71 48
76 73 50
76 74 1
77 1 29
77 2 30
77 3 31
77 5 33
77 6 34
77 7 35
77 8 36
77 9 37
77 10 38
77 11 39
77 12 40
77 13 41
77 14 42
77 16 44
77 17 45
77 18 46
77 19 47
77 20 48
77 21 49
77 22 50
77 23 1
77 24 2
77 25 3
77 26 4
77 27 5
77 28 6
77 29 7
77 30 8
77 31 9
77 32 10
77 34 12
77 35 13
77 36 14
77 37 15
77 38 16
77 40 18
77 41 19
77 42 20
77 43 21
77 44 22
77 45 23
77 46 24
77 47 25
77 48 26
77 49 27
77 50 28
77 51 29
77 52 30
77 53 31
77 54 32
77 55 33
77 56 34
77 57 35
77 58 36
77 59 37
77 60 38
77 61 39
77 62 40
77 64 42
77 65 43
77 66 44
77 67 45
77 68 46
77 69 47
77 70 48
77 71 49
77 72 50
77 73 1
77 74 2
77 75 3
77 76 4
78 1 30
78 2 31
78 3 32
78 4 33
78 5 34
78 8 37
78 9 38
78 10 39
78 11 40
78 14 43
78 15 44
78 16 45
78 17 46
78 18 47
78 19 48
78 20 49
78 22 1
78 23 2
78 26 5
78 27 6
78 28 7
78 30 9
78 31 10
78 32 11
78 33 12
78 34 13
78 35 14
78 37 16
78 38 17
78 39 18
78 40 19
78 41 20
78 42 21
78 43 22
78 44 23
78 45 24
78 46 25
78 47 26
78 48 27
78 49 28
78 50 29
78 51 30
78 52 31
78 53 32
78 54 33
78 55 34
78 56 35
78 57 36
78 58 37
78 59 38
78 60 39
78 61 40
78 62 41
78 63 42
78 64 43
78 65 44
78 66 45
78 67 46
78 69 48
78 70 49
78 71 50
78 72 1
78 73 2
78 74 3
78 75 4
78 76 5
78 77 6
79 1 31
79 2 32
79 3 33
79 4 34
79 5 35
79 6 36
79 7 37
79 8 38
79 9 39
79 10 40
79 11 41
79 12 42
79 13 43
79 14 44
79 16 46
79 17 47
79 18 48
79 19 49
79 20 50
79 21 1
79 22 2
79 23 3
79 24 4
79 25 5
79 27 7
79 29 9
79 30 10
79 31 11
79 32 12
79 33 13
79 34 14
79 37 17
79 38 18
79 39 19
79 40 20
79 41 21
79 42 22
79 43 23
79 44 24
79 45 25
79 46 26
79 47 27
79 48 28
79 49 29
79 51 31
79 52 32
79 53 33
79 54 34
79 55 35
79 56 36
79 57 37
79 58 38
79 59 39
79 60 40
79 62 42
79 64 44
79 65 45
79 66 46
79 67 47
79 68 48
79 69 49
79 70 50
79 71 1
79 72 2
79 74 4
79 76 6
79 77 7
79 78 8
80 1 32
80 2 33
80 4 35
80 5 36
80 6 37
80 7 38
80 8 39
80 9 40
80 10 41
80 11 42
80 12 43
80 13 44
80 14 45
80 15 46
80 17 48
80 18 49
80 19 50
80 20 1
80 21 2
80 22 3
80 23 4
80 24 5
80 25 6
80 26 7
80 27 8
80 28 9
80 29 10
80 30 11
80 31 12
80 32 13
80 33 14
80 34 15
80 35 16
80 36 17
80 37 18
80 38 19
80 39 20
80 40 21
80 41 22
80 42 23
80 43 24
80 44 25
80 45 26
80 46 27
80 47 28
80 48 29
80 49 30
80 50 31
80 51 32
80 52 33
80 53 34
80 54 35
80 55 36
80 56 37
80 57 38
80 59 40
80 60 41
80 62 43
80 63 44
80 65 46
80 66 47
80 67 48
80 68 49
80 69 50
80 70 1
80 71 2
80 72 3
80 73 4
80 74 5
80 75 6
80 77 8
80 78 9
80 79 10
81 1 33
81 2 34
81 3 35
81 4 36
81 5 37
81 6 38
81 8 40
81 9 41
81 10 42
81 11 43
81 12 44
81 13 45
81 14 46
81 15 47
81 16 48
81 17 49
81 18 50
81 19 1
81 20 2
81 21 3
81 22 4
81 23 5
81 24 6
81 25 7
81 26 8
81 27 9
81 28 10
81 29 11
81 30 12
81 31 13
81 32 14
81 33 15
81 34 16
81 37 19
81 38 20
81 39 21
81 40 22
81 41 23
81 43 25
81 44 26
81 46 28
81 47 29
81 48 30
81 49 31
81 50 32
81 52 34
81 54 36
81 56 38
81 57 39
81 58 40
81 59 41
81 60 42
81 61 43
81 62 44
81 63 45
81 64 46
81 66 48
81 67 49
81 69 1
81 70 2
81 71 3
81 72 4
81 73 5
81 74 6
81 76 8
81 77 9
81 78 10
81 79 11
81 80 12
82 1 34
82 2 35
82 3 36
82 4 37
82 5 38
82 6 39
82 7 40
82 8 41
82 9 42
82 10 43
82 11 44
82 12 45
82 13 46
82 14 47
82 15 48
82 16 49
82 17 50
82 18 1
82 19 2
82 20 3
82 21 4
82 22 5
82 23 6
82 24 7
82 25 8
82 26 9
82 27 10
82 28 11
82 29 12
82 30 13
82 31 14
82 33 16
82 34 17
82 35 18
82 36 19
82 37 20
82 38 21
82 40 23
82 41 24
82 43 26
82 44 27
82 45 28
82 46 29
82 48 31
82 49 32
82 51 34
82 52 35
82 53 36
82 54 37
82 55 38
82 56 39
82 57 40
82 58 41
82 59 42
82 60 43
82 61 44
82 62 45
82 63 46
82 64 47
82 65 48
82 66 49
82 67 50
82 68 1
82 69 2
82 70 3
82 71 4
82 72 5
82 74 7
82 75 8
82 76 9
82 77 10
82 78 11
82 79 12
82 80 13
82 81 14
83 1 35
83 2 36
83 5 39
83 7 41
83 8 42
83 9 43
83 11 45
83 12 46
83 13 47
83 14 48
83 15 49
83 16 50
83 18 2
83 20 4
83 21 5
83 22 6
83 23 7
83 25 9
83 27 11
83 28 12
83 29 13
83 30 14
83 31 15
83 32 16
83 33 17
83 34 18
83 35 19
83 36 20
83 37 21
83 38 22
83 39 23
83 40 24
83 41 25
83 43 27
83 44 28
83 45 29
83 48 32
83 49 33
83 50 34
83 51 35
83 52 36
83 53 37
83 54 38
83 56 40
83 57 41
83 58 42
83 59 43
83 60 44
83 62 46
83 63 47
83 64 48
83 65 49
83 66 50
83 67 1
83 68 2
83 70 4
83 71 5
83 72 6
83 73 7
83 74 8
83 75 9
83 77 11
83 78 12
83 79 13
83 80 14
83 81 15
83 82 16
84 1 36
84 2 37
84 3 38
84 4 39
84 6 41
84 7 42
84 8 43
84 9 44
84 10 45
84 11 46
84 14 49
84 15 50
84 16 1
84 17 2
84 18 3
84 19 4
84 20 5
84 21 6
84 22 7
84 23 8
84 24 9
84 25 10
84 26 11
84 27 12
84 28 13
84 29 14
84 30 15
84 31 16
84 32 17
84 33 18
84 34 19
84 35 20
84 36 21
84 37 22
84 38 23
84 40 25
84 41 26
84 42 27
84 43 28
84 44 29
84 45 30
84 46 31
84 48 33
84 49 34
84 50 35
84 51 36
84 52 37
84 54 39
84 55 40
84 57 42
84 58 43
84 59 44
84 60 45
84 61 46
84 62 47
84 63 48
84 65 50
84 66 1
84 67 2
84 68 3
84 69 4
84 71 6
84 72 7
84 73 8
84 74 9
84 75 10
84 76 11
84 77 12
84 78 13
84 79 14
84 80 15
84 82 17
84 83 18
85 1 37
85 2 38
85 3 39
85 5 41
85 6 42
85 7 43
85 8 44
85 9 45
85 10 46
85 11 47
85 12 48
85 13 49
85 14 50
85 15 1
85 16 2
85 17 3
85 18 4
85 19 5
85 20 6
85 22 8
85 23 9
85 24 10
85 25 11
85 26 12
85 27 13
85 29 15
85 30 16
85 31 17
85 32 18
85 33 19
85 34 20
85 35 21
85 37 23
85 38 24
85 39 25
85 41 27
85 42 28
85 43 29
85 44 30
85 45 31
85 46 32
85 47 33
85 48 34
85 49 35
85 50 36
85 51 37
85 52 38
85 53 39
85 54 40
85 55 41
85 56 42
85 57 43
85 58 44
85 59 45
85 60 46
85 61 47
85 62 48
85 63 49
85 65 1
85 66 2
85 67 3
85 68 4
85 70 6
85 71 7
85 72 8
85 73 9
85 74 10
85 75 11
85 76 12
85 77 13
85 78 14
85 79 15
85 80 16
85 81 17
85 82 18
85 83 19
85 84 20
86 1 38
86 2 39
86 3 40
86 4 41
86 5 42
86 6 43
86 8 45
86 9 46
86 10 47
86 12 49
86 13 50
86 14 1
86 15 2
86 16 3
86 17 4
86 18 5
86 19 6
86 20 7
86 22 9
86 23 10
86 24 11
86 25 12
86 26 13
86 27 14
86 28 15
86 29 16
86 30 17
86 31 18
86 32 19
86 34 21
86 35 22
86 36 23
86 37 24
86 38 25
86 39 26
86 40 27
86 41 28
86 42 29
86 43 30
86 44 31
86 45 32
86 46 33
86 47 34
86 48 35
86 49 36
86 50 37
86 51 38
86 52 39
86 53 40
86 54 41
86 55 42
86 56 43
86 57 44
86 58 45
86 59 46
86 60 47
86 61 48
86 62 49
86 63 50
86 65 2
86 66 3
86 67 4
86 68 5
86 69 6
86 70 7
86 71 8
86 72 9
86 74 11
86 75 12
86 76 13
86 77 14
86 78 15
86 79 16
86 80 17
86 81 18
86 82 19
86 84 21
86 85 22
87 2 40
87 3 41
87 4 42
87 5 43
87 6 44
87 7 45
87 8 46
87 9 47
87 10 48
87 11 49
87 12 50
87 13 1
87 15 3
87 16 4
87 17 5
87 18 6
87 19 7
87 20 8
87 21 9
87 22 10
87 23 11
87 24 12
87 25 13
87 26 14
87 27 15
87 28 16
87 29 17
87 30 18
87 32 20
87 33 21
87 34 22
87 35 23
87 36 24
87 37 25
87 38 26
87 39 27
87 40 28
87 41 29
87 42 30
87 43 31
87 44 32
87 45 33
87 46 34
87 47 35
87 48 36
87 50 38
87 51 39
87 52 40
87 53 41
87 54 42
87 56 44
87 57 45
87 58 46
87 59 47
87 60 48
87 61 49
87 62 50
87 63 1
87 64 2
87 65 3
87 66 4
87 68 6
87 69 7
87 70 8
87 71 9
87 72 10
87 73 11
87 74 12
87 75 13
87 76 14
87 77 15
87 78 16
87 79 17
87 80 18
87 82 20
87 83 21
87 84 22
87 85 23
87 86 24
88 1 40
88 2 41
88 3 42
88 4 43
88 5 44
88 6 45
88 7 46
88 8 47
88 10 49
88 11 50
88 14 3
88 15 4
88 16 5
88 18 7
88 19 8
88 20 9
88 21 10
88 22 11
88 23 12
88 24 13
88 25 14
88 26 15
88 27 16
88 28 17
88 29 18
88 30 19
88 31 20
88 32 21
88 33 22
88 34 23
88 35 24
88 38 27
88 39 28
88 40 29
88 41 30
88 42 31
88 43 32
88 44 33
88 45 34
88 46 35
88 47 36
88 48 37
88 49 38
88 51 40
88 52 41
88 53 42
88 54 43
88 55 44
88 56 45
88 57 46
88 58 47
88 59 48
88 60 49
88 61 50
88 65 4
88 66 5
88 67 6
88 69 8
88 70 9
88 72 11
88 73 12
88 74 13
88 75 14
88 76 15
88 77 16
88 78 17
88 79 18
88 80 19
88 81 20
88 82 21
88 83 22
88 84 23
88 85 24
89 1 41
89 2 42
89 4 44
89 5 45
89 6 46
89 7 47
89 8 48
89 9 49
89 10 50
89 11 1
89 13 3
89 15 5
89 17 7
89 18 8
89 19 9
89 20 10
89 21 11
89 22 12
89 23 13
89 24 14
89 25 15
89 26 16
89 27 17
89 28 18
89 29 19
89 30 20
89 32 22
89 34 24
89 35 25
89 36 26
89 37 27
89 38 28
89 39 29
89 40 30
89 41 31
89 42 32
89 43 33
89 44 34
89 45 35
89 46 36
89 47 37
89 48 38
89 49 39
89 52 42
89 53 43
89 54 44
89 55 45
89 56 46
89 57 47
89 58 48
89 59 49
89 60 50
89 61 1
89 62 2
89 63 3
89 64 4
89 65 5
89 66 6
89 67 7
89 69 9
89 70 10
89 71 11
89 72 12
89 73 13
89 74 14
89 75 15
89 77 17
89 78 18
89 79 19
89 80 20
89 81 21
89 83 23
89 84 24
89 86 26
89 87 27
89 88 28
90 1 42
90 3 44
90 4 45
90 5 46
90 6 47
90 7 48
90 8 49
90 9 50
90 10 1
90 11 2
90 12 3
90 13 4
90 14 5
90 15 6
90 16 7
90 17 8
90 18 9
90 19 10
90 20 11
90 21 12
90 22 13
90 23 14
90 24 15
90 25 16
90 26 17
90 27 18
90 28 19
90 29 20
90 30 21
90 31 22
90 32 23
90 33 24
90 34 25
90 37 28
90 38 29
90 39 30
90 40 31
90 41 32
90 42 33
90 43 34
90 45 36
90 46 37
90 47 38
90 48 39
90 49 40
90 50 41
90 51 42
90 52 43
90 53 44
90 54 45
90 55 46
90 56 47
90 57 48
90 59 50
90 60 1
90 61 2
90 62 3
90 64 5
90 65 6
90 67 8
90 68 9
90 69 10
90 70 11
90 71 12
90 72 13
90 74 15
90 76 17
90 79 20
90 80 21
90 81 22
90 82 23
90 83 24
90 85 26
90 86 27
90 87 28
90 88 29
90 89 30
91 1 43
91 2 44
91 3 45
91 4 46
91 5 47
91 6 48
91 7 49
91 8 50
91 9 1
91 10 2
91 11 3
91 12 4
91 13 5
91 14 6
91 15 7
91 16 8
91 17 9
91 18 10
91 19 11
91 21 13
91 23 15
91 25 17
91 26 18
91 27 19
91 28 20
91 29 21
91 30 22
91 31 23
91 32 24
91 34 26
91 35 27
91 37 29
91 38 30
91 39 31
91 40 32
91 41 33
91 42 34
91 43 35
91 44 36
91 45 37
91 46 38
91 47 39
91 48 40
91 49 41
91 50 42
91 51 43
91 52 44
91 55 47
91 56 48
91 57 49
91 58 50
91 59 1
91 60 2
91 61 3
91 62 4
91 63 5
91 64 6
91 65 7
91 66 8
91 67 9
91 68 10
91 69 11
91 70 12
91 71 13
91 72 14
91 73 15
91 74 16
91 75 17
91 76 18
91 77 19
91 78 20
91 79 21
91 80 22
91 81 23
91 82 24
91 84 26
91 85 27
91 86 28
91 87 29
91 88 30
91 89 31
92 1 44
92 2 45
92 3 46
92 4 47
92 5 48
92 6 49
92 7 50
92 8 1
92 9 2
92 10 3
92 11 4
92 13 6
92 14 7
92 15 8
92 16 9
92 17 10
92 18 11
92 19 12
92 20 13
92 21 14
92 22 15
92 23 16
92 24 17
92 25 18
92 26 19
92 27 20
92 28 21
92 29 22
92 30 23
92 31 24
92 32 25
92 33 26
92 34 27
92 35 28
92 36 29
92 37 30
92 38 31
92 39 32
92 40 33
92 41 34
92 42 35
92 44 37
92 45 38
92 46 39
92 47 40
92 48 41
92 49 42
92 50 43
92 51 44
92 53 46
92 54 47
92 55 48
92 56 49
92 57 50
92 58 1
92 59 2
92 61 4
92 62 5
92 63 6
92 64 7
92 65 8
92 67 10
92 68 11
92 69 12
92 70 13
92 71 14
92 72 15
92 73 16
92 74 17
92 75 18
92 76 19
92 77 20
92 78 21
92 79 22
92 81 24
92 82 25
92 83 26
92 84 27
92 85 28
92 86 29
92 89 32
92 90 33
92 91 34
93 1 45
93 2 46
93 3 47
93 5 49
93 6 50
93 7 1
93 8 2
93 9 3
93 10 4
93 11 5
93 12 6
93 13 7
93 15 9
93 16 10
93 17 11
93 18 12
93 19 13
93 20 14
93 21 15
93 22 16
93 23 17
93 24 18
93 25 19
93 26 20
93 28 22
93 29 23
93 30 24
93 31 25
93 32 26
93 33 27
93 34 28
93 35 29
93 36 30
93 37 31
93 38 32
93 39 33
93 40 34
93 41 35
93 42 36
93 44 38
93 46 40
93 47 41
93 48 42
93 49 43
93 51 45
93 52 46
93 53 47
93 54 48
93 55 49
93 57 1
93 58 2
93 59 3
93 60 4
93 61 5
93 63 7
93 65 9
93 66 10
93 67 11
93 68 12
93 69 13
93 70 14
93 71 15
93 72 16
93 74 18
93 75 19
93 76 20
93 77 21
93 78 22
93 79 23
93 80 24
93 81 25
93 82 26
93 83 27
93 84 28
93 85 29
93 86 30
93 88 32
93 89 33
93 91 35
93 92 36
94 1 46
94 2 47
94 4 49
94 5 50
94 6 1
94 7 2
94 8 3
94 9 4
94 10 5
94 11 6
94 12 7
94 13 8
94 14 9
94 16 11
94 17 12
94 18 13
94 19 14
94 21 16
94 22 17
94 23 18
94 24 19
94 25 20
94 26 21
94 27 22
94 28 23
94 29 24
94 30 25
94 32 27
94 34 29
94 36 31
94 37 32
94 38 33
94 39 34
94 40 35
94 41 36
94 42 37
94 43 38
94 44 39
94 46 41
94 47 42
94 48 43
94 49 44
94 50 45
94 51 46
94 52 47
94 53 48
94 55 50
94 56 1
94 57 2
94 58 3
94 59 4
94 60 5
94 61 6
94 62 7
94 63 8
94 64 9
94 65 10
94 66 11
94 68 13
94 71 16
94 72 17
94 73 18
94 74 19
94 75 20
94 76 21
94 77 22
94 78 23
94 79 24
94 80 25
94 81 26
94 83 28
94 84 29
94 85 30
94 86 31
94 87 32
94 88 33
94 89 34
94 90 35
94 91 36
94 92 37
94 93 38
95 2 48
95 3 49
95 4 50
95 6 2
95 7 3
95 8 4
95 9 5
95 11 7
95 12 8
95 13 9
95 14 10
95 15 11
95 16 12
95 17 13
95 18 14
95 19 15
95 20 16
95 21 17
95 22 18
95 24 20
95 25 21
95 27 23
95 28 24
95 29 25
95 30 26
95 31 27
95 32 28
95 33 29
95 34 30
95 35 31
95 36 32
95 38 34
95 39 35
95 40 36
95 41 37
95 42 38
95 43 39
95 44 40
95 45 41
95 46 42
95 47 43
95 49 45
95 50 46
95 52 48
95 53 49
95 54 50
95 56 2
95 57 3
95 58 4
95 59 5
95 60 6
95 62 8
95 64 10
95 65 11
95 67 13
95 68 14
95 69 15
95 70 16
95 71 17
95 72 18
95 74 20
95 75 21
95 76 22
95 77 23
95 78 24
95 79 25
95 80 26
95 81 27
95 82 28
95 83 29
95 84 30
95 85 31
95 86 32
95 87 33
95 88 34
95 89 35
95 90 36
95 91 37
95 92 38
95 93 39
95 94 40
96 1 48
96 2 49
96 3 50
96 4 1
96 5 2
96 6 3
96 7 4
96 8 5
96 9 6
96 10 7
96 11 8
96 12 9
96 13 10
96 14 11
96 16 13
96 17 14
96 18 15
96 19 16
96 20 17
96 21 18
96 22 19
96 23 20
96 24 21
96 25 22
96 26 23
96 27 24
96 29 26
96 30 27
96 31 28
96 32 29
96 33 30
96 34 31
96 35 32
96 36 33
96 37 34
96 38 35
96 39 36
96 40 37
96 41 38
96 42 39
96 43 40
96 44 41
96 45 42
96 46 43
96 47 44
96 48 45
96 49 46
96 50 47
96 51 48
96 52 49
96 53 50
96 54 1
96 55 2
96 56 3
96 57 4
96 58 5
96 59 6
96 60 7
96 61 8
96 62 9
96 63 10
96 64 11
96 65 12
96 66 13
96 67 14
96 68 15
96 69 16
96 70 17
96 71 18
96 72 19
96 74 21
96 75 22
96 76 23
96 77 24
96 78 25
96 79 26
96 80 27
96 81 28
96 82 29
96 83 30
96 84 31
96 85 32
96 86 33
96 88 35
96 90 37
96 91 38
96 92 39
96 93 40
96 95 42
97 1 49
97 2 50
97 3 1
97 4 2
97 6 4
97 7 5
97 8 6
97 9 7
97 10 8
97 12 10
97 13 11
97 14 12
97 15 13
97 16 14
97 18 16
97 19 17
97 20 18
97 21 19
97 22 20
97 23 21
97 25 23
97 27 25
97 28 26
97 29 27
97 30 28
97 31 29
97 32 30
97 33 31
97 34 32
97 35 33
97 37 35
97 38 36
97 39 37
97 40 38
97 41 39
97 42 40
97 43 41
97 45 43
97 46 44
97 47 45
97 48 46
97 49 47
97 50 48
97 51 49
97 53 1
97 54 2
97 55 3
97 56 4
97 57 5
97 58 6
97 59 7
97 60 8
97 61 9
97 63 11
97 64 12
97 65 13
97 67 15
97 68 16
97 69 17
97 70 18
97 71 19
97 72 20
97 73 21
97 74 22
97 76 24
97 77 25
97 78 26
97 79 27
97 80 28
97 81 29
97 83 31
97 84 32
97 85 33
97 86 34
97 87 35
97 88 36
97 89 37
97 91 39
97 93 41
97 95 43
97 96 44
98 1 50
98 2 1
98 3 2
98 4 3
98 5 4
98 6 5
98 7 6
98 8 7
98 9 8
98 10 9
98 11 10
98 12 11
98 13 12
98 14 13
98 15 14
98 16 15
98 17 16
98 18 17
98 19 18
98 20 19
98 21 20
98 22 21
98 23 22
98 24 23
98 25 24
98 27 26
98 28 27
98 29 28
98 30 29
98 31 30
98 32 31
98 33 32
98 34 33
98 35 34
98 36 35
98 39 38
98 40 39
98 41 40
98 42 41
98 43 42
98 44 43
98 45 44
98 46 45
98 47 46
98 48 47
98 49 48
98 50 49
98 51 50
98 52 1
98 53 2
98 54 3
98 55 4
98 56 5
98 57 6
98 61 10
98 62 11
98 63 12
98 64 13
98 65 14
98 66 15
98 67 16
98 68 17
98 69 18
98 70 19
98 71 20
98 72 21
98 73 22
98 74 23
98 75 24
98 76 25
98 77 26
98 78 27
98 79 28
98 80 29
98 81 30
98 82 31
98 83 32
98 84 33
98 85 34
98 86 35
98 87 36
98 88 37
98 89 38
98 90 39
98 91 40
98 92 41
98 93 42
98 94 43
98 96 45
98 97 46
99 1 1
99 2 2
99 3 3
99 4 4
99 5 5
99 6 6
99 7 7
99 8 8
99 9 9
99 10 10
99 11 11
99 12 12
99 13 13
99 14 14
99 15 15
99 16 16
99 17 17
99 18 18
99 19 19
99 20 20
99 21 21
99 22 22
99 23 23
99 24 24
99 25 25
99 26 26
99 27 27
99 28 28
99 29 29
99 30 30
99 31 31
99 32 32
99 33 33
99 34 34
99 35 35
99 36 36
99 37 37
99 39 39
99 40 40
99 41 41
99 42 42
99 43 43
99 44 44
99 45 45
99 48 48
99 49 49
99 50 50
99 51 1
99 52 2
99 53 3
99 54 4
99 55 5
99 56 6
99 57 7
99 58 8
99 59 9
99 60 10
99 61 11
99 62 12
99 63 13
99 64 14
99 65 15
99 66 16
99 67 17
99 68 18
99 69 19
99 70 20
99 71 21
99 72 22
99 73 23
99 74 24
99 75 25
99 76 26
99 77 27
99 78 28
99 79 29
99 80 30
99 81 31
99 83 33
99 84 34
99 85 35
99 86 36
99 87 37
99 88 38
99 89 39
99 90 40
99 91 41
99 92 42
99 93 43
99 94 44
99 96 46
99 97 47
99 98 48
100 1 2
100 2 3
100 3 4
100 4 5
100 5 6
100 6 7
100 7 8
100 8 9
100 9 10
100 10 11
100 11 12
100 12 13
100 13 14
100 14 15
100 15 16
100 16 17
100 17 18
100 18 19
100 19 20
100 21 22
100 22 23
100 24 25
100 25 26
100 26 27
100 27 28
100 28 29
100 29 30
100 30 31
100 31 32
100 32 33
100 33 34
100 34 35
100 35 36
100 37 38
100 38 39
100 39 40
100 40 41
100 41 42
100 42 43
100 43 44
100 44 45
100 45 46
100 46 47
100 48 49
100 50 1
100 51 2
100 52 3
100 53 4
100 54 5
100 56 7
100 57 8
100 58 9
100 60 11
100 61 12
100 62 13
100 63 14
100 65 16
100 67 18
100 68 19
100 70 21
100 72 23
100 73 24
100 74 25
100 75 26
100 76 27
100 78 29
100 79 30
100 80 31
100 81 32
100 82 33
100 84 35
100 85 36
100 86 37
100 87 38
100 88 39
100 89 40
100 90 41
100 91 42
100 92 43
100 93 44
100 94 45
100 95 46
100 97 48
100 98 49
100 99 50
101 1 3
101 2 4
101 3 5
101 4 6
101 5 7
101 6 8
101 7 9
101 8 10
101 9 11
101 10 12
101 11 13
101 12 14
101 13 15
101 14 16
101 15 17
101 17 19
101 18 20
101 19 21
101 20 22
101 21 23
101 22 24
101 23 25
101 24 26
101 25 27
101 26 28
101 27 29
101 28 30
101 29 31
101 30 32
101 31 33
101 32 34
101 33 35
101 34 36
101 35 37
101 36 38
101 37 39
101 38 40
101 39 41
101 40 42
101 41 43
101 42 44
101 43 45
101 44 46
101 45 47
101 46 48
101 47 49
101 48 50
101 49 1
101 51 3
101 52 4
101 53 5
101 54 6
101 55 7
101 56 8
101 57 9
101 58 10
101 59 11
101 60 12
101 61 13
101 62 14
101 64 16
101 65 17
101 66 18
101 67 19
101 68 20
101 69 21
101 70 22
101 71 23
101 73 25
101 74 26
101 75 27
101 76 28
101 77 29
101 78 30
101 79 31
101 80 32
101 81 33
101 82 34
101 83 35
101 84 36
101 85 37
101 86 38
101 87 39
101 88 40
101 89 41
101 90 42
101 91 43
101 92 44
101 93 45
101 94 46
101 95 47
101 97 49
101 98 50
101 99 1
101 100 2
102 1 4
102 2 5
102 3 6
102 4 7
102 5 8
102 6 9
102 7 10
102 8 11
102 9 12
102 10 13
102 11 14
102 14 17
102 15 18
102 16 19
102 19 22
102 20 23
102 22 25
102 24 27
102 25 28
102 26 29
102 27 30
102 28 31
102 29 32
102 30 33
102 31 34
102 32 35
102 33 36
102 34 37
102 35 38
102 36 39
102 37 40
102 38 41
102 39 42
102 40 43
102 42 45
102 43 46
102 44 47
102 45 48
102 46 49
102 47 50
102 48 1
102 49 2
102 53 6
102 54 7
102 55 8
102 56 9
102 57 10
102 58 11
102 59 12
102 60 13
102 61 14
102 62 15
102 64 17
102 65 18
102 66 19
102 67 20
102 68 21
102 69 22
102 70 23
102 71 24
102 72 25
102 73 26
102 74 27
102 75 28
102 76 29
102 77 30
102 78 31
102 79 32
102 80 33
102 81 34
102 82 35
102 83 36
102 84 37
102 85 38
102 86 39
102 87 40
102 88 41
102 89 42
102 90 43
102 91 44
102 92 45
102 93 46
102 94 47
102 95 48
102 96 49
102 97 50
102 98 1
102 100 3
102 101 4
103 1 5
103 2 6
103 3 7
103 4 8
103 5 9
103 6 10
103 7 11
103 8 12
103 9 13
103 10 14
103 11 15
103 12 16
103 13 17
103 14 18
103 15 19
103 17 21
103 18 22
103 19 23
103 20 24
103 21 25
103 22 26
103 23 27
103 24 28
103 25 29
103 26 30
103 27 31
103 28 32
103 29 33
103 30 34
103 31 35
103 32 36
103 33 37
103 34 38
103 35 39
103 38 42
103 39 43
103 40 44
